nose:
  Frame 157: x=0.3440, y=0.2159, z=-0.3051
  Frame 158: x=0.3405, y=0.2175, z=-0.3448
  Frame 159: x=0.3387, y=0.2169, z=-0.3569
  Frame 160: x=0.3386, y=0.2182, z=-0.3518
  Frame 161: x=0.3364, y=0.2195, z=-0.4113
  Frame 162: x=0.3357, y=0.2201, z=-0.3860
  Frame 163: x=0.3363, y=0.2208, z=-0.3420
  Frame 164: x=0.3372, y=0.2252, z=-0.2634
  Frame 165: x=0.3379, y=0.2314, z=-0.2598
  Frame 166: x=0.3381, y=0.2338, z=-0.2379
  Frame 167: x=0.3387, y=0.2420, z=-0.2116
  Frame 168: x=0.3422, y=0.2545, z=-0.2386
  Frame 169: x=0.3509, y=0.2683, z=-0.2510
  Frame 170: x=0.3568, y=0.2775, z=-0.3571
  Frame 171: x=0.3651, y=0.2759, z=-0.3219
  Frame 172: x=0.3671, y=0.2763, z=-0.3074
  Frame 173: x=0.3700, y=0.2724, z=-0.2974
  Frame 174: x=0.3747, y=0.2706, z=-0.3647
  Frame 175: x=0.3798, y=0.2638, z=-0.3659
  Frame 176: x=0.3861, y=0.2600, z=-0.3386
  Frame 177: x=0.3938, y=0.2589, z=-0.2476
  Frame 178: x=0.3958, y=0.2589, z=-0.2335
  Frame 179: x=0.4052, y=0.2614, z=-0.2491
  Frame 180: x=0.4150, y=0.2689, z=-0.2569
  Frame 181: x=0.4255, y=0.2791, z=-0.2639
  Frame 182: x=0.4308, y=0.2815, z=-0.2796
  Frame 183: x=0.4401, y=0.2805, z=-0.3028
  Frame 184: x=0.4385, y=0.2790, z=-0.3032
  Frame 185: x=0.4470, y=0.2766, z=-0.3285
  Frame 186: x=0.4557, y=0.2621, z=-0.3645
  Frame 187: x=0.4606, y=0.2492, z=-0.3565
  Frame 188: x=0.4686, y=0.2410, z=-0.3387
  Frame 189: x=0.4793, y=0.2367, z=-0.2635
  Frame 190: x=0.4816, y=0.2374, z=-0.2796
  Frame 191: x=0.4889, y=0.2383, z=-0.2858
  Frame 192: x=0.4977, y=0.2400, z=-0.3157
  Frame 193: x=0.5015, y=0.2411, z=-0.2571
  Frame 194: x=0.5050, y=0.2412, z=-0.3314
  Frame 195: x=0.5077, y=0.2367, z=-0.3166
  Frame 196: x=0.5074, y=0.2355, z=-0.3025
  Frame 197: x=0.5095, y=0.2314, z=-0.2699
  Frame 198: x=0.5118, y=0.2266, z=-0.2667
  Frame 199: x=0.5153, y=0.2254, z=-0.3092
  Frame 200: x=0.5169, y=0.2251, z=-0.3365
  Frame 201: x=0.5190, y=0.2256, z=-0.3269
  Frame 202: x=0.5193, y=0.2254, z=-0.3244
  Frame 203: x=0.5206, y=0.2252, z=-0.3069
  Frame 204: x=0.5217, y=0.2256, z=-0.2531
  Frame 205: x=0.5215, y=0.2259, z=-0.2124
  Frame 206: x=0.5218, y=0.2281, z=-0.1814
  Frame 207: x=0.5221, y=0.2304, z=-0.2110
  Frame 208: x=0.5224, y=0.2319, z=-0.2132
  Frame 209: x=0.5224, y=0.2360, z=-0.3095
  Frame 210: x=0.5215, y=0.2431, z=-0.3451
  Frame 211: x=0.5212, y=0.2452, z=-0.2961
  Frame 212: x=0.5184, y=0.2461, z=-0.2985
  Frame 213: x=0.5132, y=0.2451, z=-0.3638
  Frame 214: x=0.5107, y=0.2445, z=-0.3679
  Frame 215: x=0.5064, y=0.2420, z=-0.3391
  Frame 216: x=0.4981, y=0.2392, z=-0.3276
  Frame 217: x=0.4899, y=0.2386, z=-0.2548
  Frame 218: x=0.4818, y=0.2398, z=-0.2234
  Frame 219: x=0.4708, y=0.2428, z=-0.2072
  Frame 220: x=0.4685, y=0.2447, z=-0.2267
  Frame 221: x=0.4581, y=0.2511, z=-0.2128
  Frame 222: x=0.4456, y=0.2588, z=-0.2070
  Frame 223: x=0.4297, y=0.2618, z=-0.2084
  Frame 224: x=0.4142, y=0.2596, z=-0.2185
  Frame 225: x=0.4012, y=0.2583, z=-0.2739
  Frame 226: x=0.4022, y=0.2538, z=-0.2808
  Frame 227: x=0.3934, y=0.2525, z=-0.3117
  Frame 228: x=0.3826, y=0.2524, z=-0.3183
  Frame 229: x=0.3706, y=0.2557, z=-0.3216
  Frame 230: x=0.3662, y=0.2634, z=-0.3028
  Frame 231: x=0.3623, y=0.2677, z=-0.2962
  Frame 232: x=0.3615, y=0.2688, z=-0.2670
  Frame 233: x=0.3573, y=0.2676, z=-0.3237
  Frame 234: x=0.3543, y=0.2666, z=-0.3123
  Frame 235: x=0.3515, y=0.2652, z=-0.3168
  Frame 236: x=0.3496, y=0.2607, z=-0.2054
  Frame 237: x=0.3479, y=0.2524, z=-0.1350
  Frame 238: x=0.3476, y=0.2475, z=-0.1194
  Frame 239: x=0.3469, y=0.2466, z=-0.1141
  Frame 240: x=0.3468, y=0.2459, z=-0.1517
  Frame 241: x=0.3464, y=0.2460, z=-0.1667
  Frame 242: x=0.3467, y=0.2459, z=-0.1730
  Frame 243: x=0.3475, y=0.2450, z=-0.1618
  Frame 244: x=0.3479, y=0.2447, z=-0.1522
  Frame 245: x=0.3486, y=0.2443, z=-0.1568
  Frame 246: x=0.3523, y=0.2443, z=-0.2100
  Frame 247: x=0.3568, y=0.2434, z=-0.2509
  Frame 248: x=0.3653, y=0.2433, z=-0.2554
  Frame 249: x=0.3721, y=0.2457, z=-0.2689
  Frame 250: x=0.3731, y=0.2469, z=-0.2650
  Frame 251: x=0.3808, y=0.2487, z=-0.2516
  Frame 252: x=0.3910, y=0.2509, z=-0.2637
  Frame 253: x=0.3993, y=0.2514, z=-0.3135
  Frame 254: x=0.4042, y=0.2496, z=-0.3127
  Frame 255: x=0.4125, y=0.2444, z=-0.3442
  Frame 256: x=0.4125, y=0.2422, z=-0.3423
  Frame 257: x=0.4172, y=0.2412, z=-0.3170
  Frame 258: x=0.4234, y=0.2413, z=-0.3036
  Frame 259: x=0.4294, y=0.2482, z=-0.2750
  Frame 260: x=0.4377, y=0.2578, z=-0.2618
  Frame 261: x=0.4451, y=0.2688, z=-0.2432
  Frame 262: x=0.4454, y=0.2741, z=-0.2607
  Frame 263: x=0.4502, y=0.2766, z=-0.3000
  Frame 264: x=0.4565, y=0.2738, z=-0.2772
  Frame 265: x=0.4612, y=0.2692, z=-0.3222
  Frame 266: x=0.4668, y=0.2559, z=-0.3423
  Frame 267: x=0.4709, y=0.2477, z=-0.3435
  Frame 268: x=0.4719, y=0.2448, z=-0.3406
  Frame 269: x=0.4773, y=0.2422, z=-0.3441
  Frame 270: x=0.4836, y=0.2421, z=-0.2899
  Frame 271: x=0.4918, y=0.2428, z=-0.2371
  Frame 272: x=0.4966, y=0.2434, z=-0.2254
  Frame 273: x=0.5002, y=0.2426, z=-0.2297
  Frame 274: x=0.5014, y=0.2426, z=-0.2267
  Frame 275: x=0.5023, y=0.2385, z=-0.2092
  Frame 276: x=0.5044, y=0.2312, z=-0.1745
  Frame 277: x=0.5045, y=0.2245, z=-0.2043
  Frame 278: x=0.5049, y=0.2209, z=-0.1857
  Frame 279: x=0.5051, y=0.2209, z=-0.1838
  Frame 280: x=0.5051, y=0.2215, z=-0.1804
  Frame 281: x=0.5046, y=0.2223, z=-0.1895
  Frame 282: x=0.5042, y=0.2228, z=-0.1942
  Frame 283: x=0.5039, y=0.2231, z=-0.1978
  Frame 284: x=0.5038, y=0.2235, z=-0.2129
  Frame 285: x=0.5035, y=0.2237, z=-0.2150
  Frame 286: x=0.5034, y=0.2239, z=-0.2160
  Frame 287: x=0.5032, y=0.2239, z=-0.2174
  Frame 288: x=0.5031, y=0.2239, z=-0.2087
  Frame 289: x=0.5031, y=0.2239, z=-0.2041
  Frame 290: x=0.5023, y=0.2236, z=-0.1961
  Frame 291: x=0.5019, y=0.2232, z=-0.1904
  Frame 292: x=0.5016, y=0.2231, z=-0.1880
  Frame 293: x=0.5007, y=0.2229, z=-0.1784
  Frame 294: x=0.5001, y=0.2227, z=-0.1995
  Frame 295: x=0.4995, y=0.2222, z=-0.2183
  Frame 296: x=0.4993, y=0.2214, z=-0.2240
  Frame 297: x=0.4993, y=0.2214, z=-0.2380
  Frame 298: x=0.4992, y=0.2215, z=-0.2405
  Frame 299: x=0.4986, y=0.2228, z=-0.2792
  Frame 300: x=0.4980, y=0.2252, z=-0.2793
  Frame 301: x=0.4976, y=0.2269, z=-0.2719
  Frame 302: x=0.4963, y=0.2274, z=-0.2615
  Frame 303: x=0.4953, y=0.2277, z=-0.2566
  Frame 304: x=0.4947, y=0.2279, z=-0.2546
  Frame 305: x=0.4941, y=0.2279, z=-0.2466
  Frame 306: x=0.4937, y=0.2279, z=-0.2618
  Frame 307: x=0.5094, y=0.2241, z=-0.2585
  Frame 308: x=0.5135, y=0.2238, z=-0.2594
  Frame 309: x=0.5137, y=0.2250, z=-0.2759
  Frame 310: x=0.5139, y=0.2260, z=-0.2770
  Frame 311: x=0.5144, y=0.2291, z=-0.3210
  Frame 312: x=0.5144, y=0.2306, z=-0.3288
  Frame 313: x=0.5144, y=0.2308, z=-0.3234
  Frame 314: x=0.5153, y=0.2308, z=-0.3166
  Frame 315: x=0.5165, y=0.2309, z=-0.3234
  Frame 316: x=0.5170, y=0.2309, z=-0.3260
  Frame 317: x=0.5174, y=0.2308, z=-0.3204
  Frame 318: x=0.5180, y=0.2304, z=-0.3482
  Frame 319: x=0.5184, y=0.2295, z=-0.3334
  Frame 320: x=0.5195, y=0.2279, z=-0.3075
  Frame 321: x=0.5212, y=0.2266, z=-0.3047
  Frame 322: x=0.5215, y=0.2258, z=-0.3057
  Frame 323: x=0.5223, y=0.2246, z=-0.3078
  Frame 324: x=0.5231, y=0.2237, z=-0.2889
  Frame 325: x=0.5239, y=0.2224, z=-0.2818
  Frame 326: x=0.5247, y=0.2210, z=-0.2847
  Frame 327: x=0.5252, y=0.2205, z=-0.2887
  Frame 328: x=0.5256, y=0.2202, z=-0.2905
  Frame 329: x=0.5255, y=0.2199, z=-0.2925
  Frame 330: x=0.5253, y=0.2199, z=-0.3021
  Frame 331: x=0.5253, y=0.2195, z=-0.3215
