nose:
  Frame 65: x=0.5013, y=0.2581, z=-0.0615
  Frame 66: x=0.5017, y=0.2571, z=-0.0607
  Frame 67: x=0.4972, y=0.2549, z=-0.0642
  Frame 68: x=0.4899, y=0.2531, z=-0.0576
  Frame 69: x=0.4881, y=0.2522, z=-0.0590
  Frame 70: x=0.4843, y=0.2527, z=0.0446
  Frame 71: x=0.4866, y=0.2531, z=0.1181
  Frame 72: x=0.4873, y=0.2533, z=0.1220
  Frame 73: x=0.4958, y=0.2547, z=0.1239
  Frame 74: x=0.5093, y=0.2588, z=0.0868
  Frame 75: x=0.5113, y=0.2608, z=0.0826
  Frame 76: x=0.5136, y=0.2752, z=0.0226
  Frame 77: x=0.5150, y=0.2839, z=0.0151
  Frame 78: x=0.5159, y=0.2865, z=0.0058
  Frame 79: x=0.5179, y=0.2989, z=-0.0507

right_eye:
  Frame 0: x=0.4809, y=0.3229, z=-0.0209
  Frame 1: x=0.4809, y=0.3231, z=-0.0239
  Frame 2: x=0.4809, y=0.3232, z=-0.0301
  Frame 3: x=0.4808, y=0.3232, z=-0.0288
  Frame 4: x=0.4809, y=0.3236, z=-0.0446
  Frame 5: x=0.4809, y=0.3238, z=-0.0600
  Frame 6: x=0.4809, y=0.3239, z=-0.0593
  Frame 7: x=0.4810, y=0.3241, z=-0.0680
  Frame 8: x=0.4811, y=0.3242, z=-0.1233
  Frame 9: x=0.4812, y=0.3242, z=-0.1351
  Frame 10: x=0.4812, y=0.3241, z=-0.1219
  Frame 11: x=0.4812, y=0.3237, z=-0.0533
  Frame 12: x=0.4812, y=0.3234, z=-0.0440
  Frame 13: x=0.4808, y=0.3108, z=-0.0950
  Frame 14: x=0.4791, y=0.2977, z=-0.1108
  Frame 15: x=0.4780, y=0.2954, z=-0.1142
  Frame 16: x=0.4741, y=0.2808, z=0.0325
  Frame 17: x=0.4750, y=0.2797, z=0.0815
  Frame 18: x=0.4755, y=0.2795, z=0.0750
  Frame 19: x=0.4860, y=0.2770, z=0.1120
  Frame 20: x=0.4990, y=0.2760, z=0.0568
  Frame 21: x=0.5005, y=0.2761, z=0.0480
  Frame 22: x=0.4958, y=0.2763, z=-0.0911
  Frame 23: x=0.4945, y=0.2764, z=-0.1071
  Frame 24: x=0.4944, y=0.2756, z=-0.1125
  Frame 25: x=0.4926, y=0.2745, z=-0.0984
  Frame 26: x=0.4918, y=0.2723, z=-0.0947
  Frame 27: x=0.4914, y=0.2716, z=-0.0909
  Frame 28: x=0.4911, y=0.2710, z=-0.0800
  Frame 29: x=0.4910, y=0.2705, z=-0.0336
  Frame 30: x=0.4908, y=0.2702, z=-0.0322
  Frame 31: x=0.4908, y=0.2669, z=-0.0788
  Frame 32: x=0.4888, y=0.2637, z=-0.0709
  Frame 33: x=0.4880, y=0.2622, z=-0.0722
  Frame 34: x=0.4818, y=0.2634, z=0.0100
  Frame 35: x=0.4815, y=0.2664, z=0.0702
  Frame 36: x=0.4818, y=0.2677, z=0.0798
  Frame 37: x=0.4925, y=0.2687, z=0.1663
  Frame 38: x=0.4980, y=0.2688, z=0.0974
  Frame 39: x=0.4989, y=0.2682, z=0.0157
  Frame 40: x=0.4920, y=0.2671, z=-0.0774
  Frame 41: x=0.4882, y=0.2672, z=-0.0702
  Frame 42: x=0.4870, y=0.2673, z=-0.0718
  Frame 43: x=0.4869, y=0.2674, z=-0.0605
  Frame 44: x=0.4871, y=0.2674, z=-0.0670
  Frame 45: x=0.4872, y=0.2675, z=-0.0687
  Frame 46: x=0.4879, y=0.2656, z=-0.0505
  Frame 47: x=0.4883, y=0.2621, z=-0.0536
  Frame 48: x=0.4886, y=0.2613, z=-0.0546
  Frame 49: x=0.4852, y=0.2577, z=-0.0737
  Frame 50: x=0.4816, y=0.2559, z=-0.0659
  Frame 51: x=0.4806, y=0.2549, z=-0.0680
  Frame 52: x=0.4812, y=0.2573, z=0.1013
  Frame 53: x=0.4857, y=0.2576, z=0.1321
  Frame 54: x=0.4872, y=0.2580, z=0.1306
  Frame 55: x=0.4969, y=0.2587, z=0.0859
  Frame 56: x=0.4951, y=0.2594, z=-0.0829
  Frame 57: x=0.4944, y=0.2601, z=-0.0941
  Frame 58: x=0.4873, y=0.2614, z=-0.1026
  Frame 59: x=0.4855, y=0.2630, z=-0.0495
  Frame 60: x=0.4848, y=0.2637, z=-0.0432
  Frame 61: x=0.4850, y=0.2640, z=-0.0848
  Frame 62: x=0.4869, y=0.2635, z=-0.1135
  Frame 63: x=0.4878, y=0.2635, z=-0.0961
  Frame 64: x=0.4897, y=0.2615, z=-0.0417
  Frame 65: x=0.4906, y=0.2588, z=-0.0529
  Frame 66: x=0.4912, y=0.2574, z=-0.0535
  Frame 67: x=0.4899, y=0.2542, z=-0.0531
  Frame 68: x=0.4887, y=0.2514, z=-0.0373
  Frame 69: x=0.4880, y=0.2503, z=-0.0408
  Frame 70: x=0.4876, y=0.2513, z=0.0506
  Frame 71: x=0.4948, y=0.2519, z=0.1189
  Frame 72: x=0.4963, y=0.2522, z=0.1226
  Frame 73: x=0.5042, y=0.2547, z=0.1202
  Frame 74: x=0.5116, y=0.2590, z=0.0739
  Frame 75: x=0.5129, y=0.2610, z=0.0691
  Frame 76: x=0.5139, y=0.2747, z=0.0022
  Frame 77: x=0.5124, y=0.2835, z=-0.0016
  Frame 78: x=0.5127, y=0.2863, z=-0.0117
  Frame 79: x=0.5120, y=0.2972, z=-0.0653

left_ear:
  Frame 0: x=0.4960, y=0.3316, z=0.0610
  Frame 1: x=0.4959, y=0.3317, z=0.0532
  Frame 2: x=0.4958, y=0.3317, z=0.0470
  Frame 3: x=0.4958, y=0.3317, z=0.0492
  Frame 4: x=0.4958, y=0.3317, z=0.0343
  Frame 5: x=0.4958, y=0.3319, z=0.0203
  Frame 6: x=0.4958, y=0.3321, z=0.0213
  Frame 7: x=0.4959, y=0.3321, z=-0.0033
  Frame 8: x=0.4960, y=0.3321, z=-0.0643
  Frame 9: x=0.4961, y=0.3321, z=-0.0751
  Frame 10: x=0.4962, y=0.3318, z=-0.0697
  Frame 11: x=0.4962, y=0.3314, z=-0.0283
  Frame 12: x=0.4962, y=0.3310, z=-0.0100
  Frame 13: x=0.4957, y=0.3210, z=-0.0608
  Frame 14: x=0.4939, y=0.3086, z=-0.0833
  Frame 15: x=0.4934, y=0.3073, z=-0.0906
  Frame 16: x=0.4817, y=0.2890, z=-0.0780
  Frame 17: x=0.4758, y=0.2863, z=0.0082
  Frame 18: x=0.4752, y=0.2863, z=0.0055
  Frame 19: x=0.4775, y=0.2822, z=0.0710
  Frame 20: x=0.4848, y=0.2791, z=0.0743
  Frame 21: x=0.4873, y=0.2792, z=0.0580
  Frame 22: x=0.4936, y=0.2808, z=0.0126
  Frame 23: x=0.4972, y=0.2821, z=-0.0083
  Frame 24: x=0.4983, y=0.2823, z=-0.0140
  Frame 25: x=0.5018, y=0.2815, z=-0.0064
  Frame 26: x=0.5043, y=0.2799, z=-0.0094
  Frame 27: x=0.5048, y=0.2792, z=-0.0076
  Frame 28: x=0.5069, y=0.2780, z=-0.0161
  Frame 29: x=0.5075, y=0.2773, z=0.0126
  Frame 30: x=0.5070, y=0.2771, z=0.0135
  Frame 31: x=0.5061, y=0.2757, z=-0.0422
  Frame 32: x=0.5042, y=0.2736, z=-0.0532
  Frame 33: x=0.5030, y=0.2725, z=-0.0593
  Frame 34: x=0.4880, y=0.2730, z=-0.0520
  Frame 35: x=0.4807, y=0.2735, z=0.0043
  Frame 36: x=0.4798, y=0.2738, z=0.0157
  Frame 37: x=0.4828, y=0.2741, z=0.1217
  Frame 38: x=0.4853, y=0.2732, z=0.0690
  Frame 39: x=0.4867, y=0.2719, z=0.0530
  Frame 40: x=0.4928, y=0.2712, z=0.0220
  Frame 41: x=0.4958, y=0.2713, z=0.0206
  Frame 42: x=0.4969, y=0.2715, z=0.0193
  Frame 43: x=0.5002, y=0.2716, z=0.0152
  Frame 44: x=0.5024, y=0.2716, z=0.0052
  Frame 45: x=0.5030, y=0.2716, z=0.0021
  Frame 46: x=0.5043, y=0.2703, z=0.0187
  Frame 47: x=0.5048, y=0.2694, z=0.0017
  Frame 48: x=0.5050, y=0.2692, z=-0.0027
  Frame 49: x=0.5042, y=0.2669, z=-0.0449
  Frame 50: x=0.4942, y=0.2647, z=-0.0966
  Frame 51: x=0.4915, y=0.2636, z=-0.1057
  Frame 52: x=0.4806, y=0.2640, z=0.0215
  Frame 53: x=0.4784, y=0.2644, z=0.0633
  Frame 54: x=0.4778, y=0.2647, z=0.0614
  Frame 55: x=0.4803, y=0.2649, z=0.0968
  Frame 56: x=0.4846, y=0.2649, z=0.0180
  Frame 57: x=0.4861, y=0.2651, z=0.0065
  Frame 58: x=0.4934, y=0.2654, z=0.0028
  Frame 59: x=0.4966, y=0.2669, z=0.0521
  Frame 60: x=0.4978, y=0.2676, z=0.0514
  Frame 61: x=0.5018, y=0.2676, z=-0.0117
  Frame 62: x=0.5041, y=0.2675, z=-0.0473
  Frame 63: x=0.5047, y=0.2675, z=-0.0309
  Frame 64: x=0.5073, y=0.2665, z=0.0132
  Frame 65: x=0.5081, y=0.2655, z=-0.0096
  Frame 66: x=0.5086, y=0.2650, z=-0.0086
  Frame 67: x=0.5074, y=0.2631, z=-0.0412
  Frame 68: x=0.4990, y=0.2613, z=-0.0782
  Frame 69: x=0.4966, y=0.2603, z=-0.0869
  Frame 70: x=0.4882, y=0.2602, z=-0.0267
  Frame 71: x=0.4860, y=0.2598, z=0.0462
  Frame 72: x=0.4851, y=0.2595, z=0.0507
  Frame 73: x=0.4871, y=0.2596, z=0.0700
  Frame 74: x=0.4969, y=0.2610, z=0.0755
  Frame 75: x=0.4998, y=0.2619, z=0.0687
  Frame 76: x=0.5033, y=0.2771, z=0.0709
  Frame 77: x=0.5066, y=0.2889, z=0.0875
  Frame 78: x=0.5076, y=0.2910, z=0.0858
  Frame 79: x=0.5126, y=0.3040, z=0.0390

right_ear:
  Frame 0: x=0.4773, y=0.3301, z=0.0328
  Frame 1: x=0.4769, y=0.3301, z=0.0235
  Frame 2: x=0.4767, y=0.3302, z=0.0167
  Frame 3: x=0.4766, y=0.3302, z=0.0188
  Frame 4: x=0.4766, y=0.3307, z=0.0061
  Frame 5: x=0.4766, y=0.3309, z=-0.0065
  Frame 6: x=0.4767, y=0.3310, z=-0.0055
  Frame 7: x=0.4769, y=0.3313, z=-0.0024
  Frame 8: x=0.4773, y=0.3313, z=-0.0576
  Frame 9: x=0.4775, y=0.3313, z=-0.0688
  Frame 10: x=0.4778, y=0.3312, z=-0.0555
  Frame 11: x=0.4784, y=0.3305, z=0.0199
  Frame 12: x=0.4786, y=0.3300, z=0.0271
  Frame 13: x=0.4789, y=0.3181, z=-0.0080
  Frame 14: x=0.4804, y=0.3052, z=-0.0232
  Frame 15: x=0.4804, y=0.3032, z=-0.0269
  Frame 16: x=0.4809, y=0.2877, z=0.0259
  Frame 17: x=0.4829, y=0.2854, z=0.0376
  Frame 18: x=0.4841, y=0.2856, z=0.0279
  Frame 19: x=0.4905, y=0.2813, z=0.0556
  Frame 20: x=0.4943, y=0.2797, z=0.0258
  Frame 21: x=0.4946, y=0.2797, z=0.0013
  Frame 22: x=0.4870, y=0.2808, z=-0.0409
  Frame 23: x=0.4828, y=0.2812, z=-0.0418
  Frame 24: x=0.4814, y=0.2812, z=-0.0481
  Frame 25: x=0.4817, y=0.2801, z=-0.0316
  Frame 26: x=0.4821, y=0.2778, z=-0.0262
  Frame 27: x=0.4823, y=0.2772, z=-0.0256
  Frame 28: x=0.4844, y=0.2768, z=-0.0088
  Frame 29: x=0.4859, y=0.2764, z=0.0383
  Frame 30: x=0.4865, y=0.2762, z=0.0372
  Frame 31: x=0.4876, y=0.2742, z=0.0015
  Frame 32: x=0.4896, y=0.2723, z=0.0032
  Frame 33: x=0.4904, y=0.2712, z=0.0020
  Frame 34: x=0.4901, y=0.2720, z=-0.0071
  Frame 35: x=0.4898, y=0.2723, z=0.0239
  Frame 36: x=0.4897, y=0.2725, z=0.0328
  Frame 37: x=0.4934, y=0.2729, z=0.0951
  Frame 38: x=0.4930, y=0.2730, z=-0.0132
  Frame 39: x=0.4929, y=0.2726, z=-0.0351
  Frame 40: x=0.4822, y=0.2725, z=-0.0319
  Frame 41: x=0.4795, y=0.2729, z=-0.0288
  Frame 42: x=0.4790, y=0.2729, z=-0.0311
  Frame 43: x=0.4802, y=0.2737, z=0.0075
  Frame 44: x=0.4811, y=0.2737, z=0.0043
  Frame 45: x=0.4817, y=0.2738, z=0.0024
  Frame 46: x=0.4822, y=0.2722, z=0.0293
  Frame 47: x=0.4833, y=0.2697, z=0.0181
  Frame 48: x=0.4842, y=0.2689, z=0.0163
  Frame 49: x=0.4852, y=0.2653, z=0.0049
  Frame 50: x=0.4877, y=0.2626, z=-0.0133
  Frame 51: x=0.4887, y=0.2613, z=-0.0218
  Frame 52: x=0.4889, y=0.2616, z=0.0436
  Frame 53: x=0.4935, y=0.2625, z=0.0587
  Frame 54: x=0.4946, y=0.2631, z=0.0577
  Frame 55: x=0.4942, y=0.2632, z=0.0398
  Frame 56: x=0.4869, y=0.2655, z=-0.0632
  Frame 57: x=0.4848, y=0.2665, z=-0.0710
  Frame 58: x=0.4795, y=0.2684, z=-0.0472
  Frame 59: x=0.4786, y=0.2706, z=0.0135
  Frame 60: x=0.4783, y=0.2715, z=0.0141
  Frame 61: x=0.4792, y=0.2715, z=-0.0034
  Frame 62: x=0.4813, y=0.2713, z=-0.0385
  Frame 63: x=0.4824, y=0.2712, z=-0.0262
  Frame 64: x=0.4856, y=0.2695, z=0.0296
  Frame 65: x=0.4879, y=0.2663, z=0.0168
  Frame 66: x=0.4890, y=0.2651, z=0.0170
  Frame 67: x=0.4912, y=0.2615, z=0.0169
  Frame 68: x=0.4959, y=0.2592, z=-0.0018
  Frame 69: x=0.4970, y=0.2582, z=-0.0129
  Frame 70: x=0.4958, y=0.2589, z=0.0065
  Frame 71: x=0.5017, y=0.2588, z=0.0478
  Frame 72: x=0.5027, y=0.2588, z=0.0519
  Frame 73: x=0.5053, y=0.2588, z=0.0523
