nose:
  Frame 14: x=0.5064, y=0.6630, z=-0.0064
  Frame 15: x=0.5068, y=0.6616, z=-0.0070
  Frame 16: x=0.5069, y=0.6609, z=-0.0072
  Frame 17: x=0.5076, y=0.6588, z=-0.0049
  Frame 18: x=0.5080, y=0.6578, z=0.0009
  Frame 19: x=0.5081, y=0.6573, z=0.0023
  Frame 20: x=0.5080, y=0.6576, z=0.0065
  Frame 21: x=0.5080, y=0.6575, z=0.0043
  Frame 22: x=0.5081, y=0.6574, z=0.0029

knee_right:
  Frame 0: x=0.5383, y=0.6392, z=0.0479
  Frame 1: x=0.5384, y=0.6409, z=-0.0034
  Frame 2: x=0.5370, y=0.6376, z=0.0115
  Frame 3: x=0.5298, y=0.6376, z=-0.0169
  Frame 4: x=0.5300, y=0.6372, z=-0.0271
  Frame 5: x=0.5004, y=0.6617, z=-0.0159
  Frame 6: x=0.4968, y=0.6655, z=-0.0062
  Frame 7: x=0.4968, y=0.6676, z=0.0017
  Frame 8: x=0.4965, y=0.6663, z=0.0022
  Frame 9: x=0.4966, y=0.6659, z=-0.0003
  Frame 10: x=0.4966, y=0.6653, z=-0.0005
  Frame 11: x=0.4961, y=0.6650, z=-0.0017
  Frame 12: x=0.4963, y=0.6649, z=-0.0066
  Frame 13: x=0.4964, y=0.6649, z=-0.0075
  Frame 14: x=0.4963, y=0.6647, z=-0.0182
  Frame 15: x=0.4963, y=0.6643, z=-0.0210
  Frame 16: x=0.4962, y=0.6641, z=-0.0225
  Frame 17: x=0.4964, y=0.6640, z=-0.0270
  Frame 18: x=0.4966, y=0.6639, z=-0.0303
  Frame 19: x=0.4966, y=0.6635, z=-0.0307
  Frame 20: x=0.4965, y=0.6634, z=-0.0293
  Frame 21: x=0.4962, y=0.6634, z=-0.0274
  Frame 22: x=0.4960, y=0.6633, z=-0.0274

ankle_left:
  Frame 0: x=0.4990, y=0.7930, z=0.0404
  Frame 1: x=0.4990, y=0.7930, z=0.0331
  Frame 2: x=0.4989, y=0.7940, z=-0.0117
  Frame 3: x=0.4989, y=0.7941, z=-0.0147
  Frame 4: x=0.4989, y=0.7941, z=-0.0196
  Frame 5: x=0.4897, y=0.7771, z=0.0443
  Frame 6: x=0.4863, y=0.7720, z=0.0524
  Frame 7: x=0.4858, y=0.7719, z=0.0451
  Frame 8: x=0.4854, y=0.7727, z=0.0464
  Frame 9: x=0.4852, y=0.7732, z=0.0638
  Frame 10: x=0.4849, y=0.7739, z=0.0624
  Frame 11: x=0.4848, y=0.7740, z=0.0627
  Frame 12: x=0.4849, y=0.7737, z=0.0632
  Frame 13: x=0.4849, y=0.7737, z=0.0627
  Frame 14: x=0.4850, y=0.7737, z=0.0544
  Frame 15: x=0.4851, y=0.7735, z=0.0502
  Frame 16: x=0.4852, y=0.7734, z=0.0491
  Frame 17: x=0.4853, y=0.7725, z=0.0526
  Frame 18: x=0.4853, y=0.7719, z=0.0624
  Frame 19: x=0.4854, y=0.7717, z=0.0631
  Frame 20: x=0.4855, y=0.7717, z=0.0682
  Frame 21: x=0.4855, y=0.7716, z=0.0656
  Frame 22: x=0.4855, y=0.7715, z=0.0641

ankle_right:
  Frame 0: x=0.5717, y=0.7295, z=0.1266
  Frame 1: x=0.5717, y=0.7294, z=0.0513
  Frame 2: x=0.5718, y=0.7284, z=0.0769
  Frame 3: x=0.5718, y=0.7273, z=0.0335
  Frame 4: x=0.5719, y=0.7262, z=0.0177
  Frame 5: x=0.5045, y=0.7448, z=0.0509
  Frame 6: x=0.5040, y=0.7453, z=0.0721
  Frame 7: x=0.5059, y=0.7462, z=0.0922
  Frame 8: x=0.5070, y=0.7455, z=0.0918
  Frame 9: x=0.5054, y=0.7465, z=0.0882
  Frame 10: x=0.5060, y=0.7466, z=0.0867
  Frame 11: x=0.5063, y=0.7459, z=0.0851
  Frame 12: x=0.5062, y=0.7458, z=0.0841
  Frame 13: x=0.5064, y=0.7456, z=0.0835
  Frame 14: x=0.5064, y=0.7459, z=0.0702
  Frame 15: x=0.5063, y=0.7459, z=0.0636
  Frame 16: x=0.5058, y=0.7459, z=0.0607
  Frame 17: x=0.5051, y=0.7459, z=0.0613
  Frame 18: x=0.5044, y=0.7459, z=0.0602
  Frame 19: x=0.5044, y=0.7459, z=0.0597
  Frame 20: x=0.5042, y=0.7460, z=0.0612
  Frame 21: x=0.5044, y=0.7459, z=0.0644
  Frame 22: x=0.5047, y=0.7459, z=0.0668

heel_left:
  Frame 0: x=0.4981, y=0.8093, z=0.0442
  Frame 1: x=0.4981, y=0.8092, z=0.0353
  Frame 2: x=0.4980, y=0.8100, z=-0.0107
  Frame 3: x=0.4981, y=0.8101, z=-0.0141
  Frame 4: x=0.4981, y=0.8101, z=-0.0192
  Frame 5: x=0.4842, y=0.7922, z=0.0441
  Frame 6: x=0.4808, y=0.7879, z=0.0525
  Frame 7: x=0.4795, y=0.7885, z=0.0457
  Frame 8: x=0.4790, y=0.7891, z=0.0473
  Frame 9: x=0.4790, y=0.7889, z=0.0652
  Frame 10: x=0.4789, y=0.7890, z=0.0637
  Frame 11: x=0.4789, y=0.7889, z=0.0642
  Frame 12: x=0.4790, y=0.7887, z=0.0649
  Frame 13: x=0.4789, y=0.7886, z=0.0644
  Frame 14: x=0.4789, y=0.7885, z=0.0555
  Frame 15: x=0.4789, y=0.7884, z=0.0510
  Frame 16: x=0.4789, y=0.7883, z=0.0499
  Frame 17: x=0.4790, y=0.7873, z=0.0541
  Frame 18: x=0.4791, y=0.7866, z=0.0646
  Frame 19: x=0.4792, y=0.7863, z=0.0652
  Frame 20: x=0.4793, y=0.7862, z=0.0705
  Frame 21: x=0.4793, y=0.7862, z=0.0678
  Frame 22: x=0.4793, y=0.7862, z=0.0664

heel_right:
  Frame 0: x=0.5724, y=0.7354, z=0.1332
  Frame 1: x=0.5727, y=0.7354, z=0.0554
  Frame 2: x=0.5728, y=0.7354, z=0.0821
  Frame 3: x=0.5729, y=0.7353, z=0.0366
  Frame 4: x=0.5729, y=0.7351, z=0.0204
  Frame 5: x=0.5067, y=0.7536, z=0.0548
  Frame 6: x=0.5083, y=0.7541, z=0.0751
  Frame 7: x=0.5119, y=0.7549, z=0.0965
  Frame 8: x=0.5121, y=0.7540, z=0.0965
  Frame 9: x=0.5097, y=0.7542, z=0.0929
  Frame 10: x=0.5110, y=0.7542, z=0.0915
  Frame 11: x=0.5112, y=0.7537, z=0.0899
  Frame 12: x=0.5112, y=0.7536, z=0.0887
  Frame 13: x=0.5113, y=0.7536, z=0.0882
  Frame 14: x=0.5115, y=0.7543, z=0.0748
  Frame 15: x=0.5106, y=0.7543, z=0.0679
  Frame 16: x=0.5099, y=0.7543, z=0.0649
  Frame 17: x=0.5091, y=0.7542, z=0.0662
  Frame 18: x=0.5085, y=0.7542, z=0.0654
  Frame 19: x=0.5085, y=0.7541, z=0.0650
  Frame 20: x=0.5083, y=0.7541, z=0.0665
  Frame 21: x=0.5086, y=0.7541, z=0.0706
  Frame 22: x=0.5089, y=0.7541, z=0.0733

foot_index_left:
  Frame 0: x=0.5106, y=0.8149, z=-0.0137
  Frame 1: x=0.5107, y=0.8159, z=-0.0251
  Frame 2: x=0.5101, y=0.8164, z=-0.0728
