nose:
  Frame 56: x=0.4968, y=0.2897, z=0.1320
  Frame 57: x=0.4989, y=0.2898, z=0.1246
  Frame 58: x=0.4996, y=0.2898, z=0.1344
  Frame 59: x=0.5178, y=0.2895, z=0.0747
  Frame 60: x=0.5252, y=0.2895, z=0.0349
  Frame 61: x=0.5263, y=0.2895, z=0.0344
  Frame 62: x=0.5304, y=0.2919, z=0.0211
  Frame 63: x=0.5326, y=0.2967, z=0.0249
  Frame 64: x=0.5328, y=0.2981, z=0.0001
  Frame 65: x=0.5348, y=0.3033, z=-0.0979
  Frame 66: x=0.5346, y=0.3050, z=-0.1335
  Frame 67: x=0.5348, y=0.3058, z=-0.1366
  Frame 68: x=0.5360, y=0.3064, z=-0.1229
  Frame 69: x=0.5353, y=0.3076, z=-0.1500
  Frame 70: x=0.5355, y=0.3075, z=-0.1527
  Frame 71: x=0.5347, y=0.3125, z=-0.1770
  Frame 72: x=0.5344, y=0.3139, z=-0.1629
  Frame 73: x=0.5340, y=0.3147, z=-0.1653
  Frame 74: x=0.5323, y=0.3168, z=-0.1247
  Frame 75: x=0.5296, y=0.3195, z=-0.0975
  Frame 76: x=0.5282, y=0.3203, z=-0.0889
  Frame 77: x=0.5274, y=0.3269, z=-0.0708
  Frame 78: x=0.5270, y=0.3322, z=-0.0568
  Frame 79: x=0.5265, y=0.3335, z=-0.0322
  Frame 80: x=0.5256, y=0.3426, z=-0.0547
  Frame 81: x=0.5256, y=0.3467, z=-0.0567
  Frame 82: x=0.5254, y=0.3483, z=-0.0534
  Frame 83: x=0.5256, y=0.3527, z=-0.0289
  Frame 84: x=0.5271, y=0.3547, z=-0.0258
  Frame 85: x=0.5275, y=0.3553, z=-0.0174
  Frame 86: x=0.5292, y=0.3574, z=-0.0164
  Frame 87: x=0.5305, y=0.3584, z=-0.0163
  Frame 88: x=0.5314, y=0.3585, z=-0.0162
  Frame 89: x=0.5315, y=0.3591, z=-0.0157
  Frame 90: x=0.5315, y=0.3594, z=-0.0121
  Frame 91: x=0.5315, y=0.3594, z=-0.0115
  Frame 92: x=0.5314, y=0.3595, z=-0.0120
  Frame 93: x=0.5308, y=0.3596, z=-0.0056
  Frame 94: x=0.5303, y=0.3597, z=-0.0031
