nose:
  Frame 177: x=0.5700, y=0.1404, z=-0.2097
  Frame 178: x=0.5716, y=0.1407, z=-0.2109
  Frame 179: x=0.5733, y=0.1466, z=-0.1648
  Frame 180: x=0.5739, y=0.1492, z=-0.1756
  Frame 181: x=0.5754, y=0.1571, z=-0.1691
  Frame 182: x=0.5797, y=0.1672, z=-0.0348
  Frame 183: x=0.5843, y=0.1777, z=-0.0150
  Frame 184: x=0.5872, y=0.1836, z=0.0042
  Frame 185: x=0.5883, y=0.1907, z=0.0131
  Frame 186: x=0.5897, y=0.1896, z=-0.0050
  Frame 187: x=0.5850, y=0.1940, z=0.0557
  Frame 188: x=0.5608, y=0.2001, z=0.1260
  Frame 189: x=0.5500, y=0.2009, z=0.0789
  Frame 190: x=0.5398, y=0.2004, z=0.0904
  Frame 191: x=0.5354, y=0.1981, z=0.0900
  Frame 192: x=0.5359, y=0.1967, z=0.0884
  Frame 193: x=0.5330, y=0.1959, z=0.1294
  Frame 194: x=0.5291, y=0.1940, z=0.1058
  Frame 195: x=0.5266, y=0.1924, z=0.1390
  Frame 196: x=0.5252, y=0.1900, z=0.1661
  Frame 197: x=0.5232, y=0.1878, z=0.1530
  Frame 198: x=0.5227, y=0.1867, z=0.1379
  Frame 199: x=0.5206, y=0.1870, z=0.1567
  Frame 200: x=0.5177, y=0.1923, z=0.1708
  Frame 201: x=0.5160, y=0.2013, z=0.1503
  Frame 202: x=0.5137, y=0.2064, z=0.1481
  Frame 203: x=0.5109, y=0.2119, z=0.1620
  Frame 204: x=0.5101, y=0.2136, z=0.1597
  Frame 205: x=0.5061, y=0.2140, z=0.1735
  Frame 206: x=0.4934, y=0.2147, z=0.1856
  Frame 207: x=0.4776, y=0.2082, z=0.1016
  Frame 208: x=0.4655, y=0.2080, z=0.0384
  Frame 209: x=0.4613, y=0.2061, z=-0.0116
  Frame 210: x=0.4610, y=0.2038, z=-0.0129
  Frame 211: x=0.4604, y=0.2019, z=-0.0597
  Frame 212: x=0.4613, y=0.2006, z=-0.1003
  Frame 213: x=0.4626, y=0.2008, z=-0.1785
  Frame 214: x=0.4661, y=0.2050, z=-0.2458
  Frame 215: x=0.4677, y=0.2126, z=-0.2417
  Frame 216: x=0.4684, y=0.2151, z=-0.2404
  Frame 217: x=0.4695, y=0.2191, z=-0.2288
  Frame 218: x=0.4730, y=0.2226, z=-0.2323
  Frame 219: x=0.4760, y=0.2233, z=-0.2099
  Frame 220: x=0.4802, y=0.2218, z=-0.2320
  Frame 221: x=0.4841, y=0.2187, z=-0.2418
  Frame 222: x=0.4856, y=0.2166, z=-0.2349
  Frame 223: x=0.4861, y=0.2122, z=-0.2542
  Frame 224: x=0.4874, y=0.2082, z=-0.2308
  Frame 225: x=0.4888, y=0.2031, z=-0.2296
  Frame 226: x=0.4890, y=0.2000, z=-0.2468
  Frame 227: x=0.4896, y=0.1961, z=-0.2809
  Frame 228: x=0.4898, y=0.1948, z=-0.2767
  Frame 229: x=0.4910, y=0.1889, z=-0.2903
  Frame 230: x=0.4911, y=0.1840, z=-0.2675
  Frame 231: x=0.4908, y=0.1772, z=-0.2126
  Frame 232: x=0.4905, y=0.1722, z=-0.2790
  Frame 233: x=0.4904, y=0.1717, z=-0.2809
  Frame 234: x=0.4903, y=0.1732, z=-0.2723
  Frame 235: x=0.4902, y=0.1752, z=-0.2873
  Frame 236: x=0.4894, y=0.1765, z=-0.3080
  Frame 237: x=0.4892, y=0.1773, z=-0.3165
  Frame 238: x=0.4894, y=0.1777, z=-0.3171
  Frame 239: x=0.4900, y=0.1734, z=-0.3079
  Frame 240: x=0.4903, y=0.1716, z=-0.2968
  Frame 241: x=0.4919, y=0.1642, z=-0.2690
  Frame 242: x=0.4945, y=0.1602, z=-0.2796
  Frame 243: x=0.4995, y=0.1534, z=-0.2998
  Frame 244: x=0.5027, y=0.1503, z=-0.2973
  Frame 245: x=0.5077, y=0.1497, z=-0.2985
  Frame 246: x=0.5090, y=0.1488, z=-0.2971
  Frame 247: x=0.5137, y=0.1479, z=-0.2961
  Frame 248: x=0.5172, y=0.1490, z=-0.3115
  Frame 249: x=0.5224, y=0.1499, z=-0.3080
  Frame 250: x=0.5229, y=0.1512, z=-0.2742
  Frame 251: x=0.5260, y=0.1560, z=-0.2774
  Frame 252: x=0.5269, y=0.1585, z=-0.2782
  Frame 253: x=0.5310, y=0.1639, z=-0.2669
  Frame 254: x=0.5382, y=0.1706, z=-0.0660
  Frame 255: x=0.5464, y=0.1748, z=-0.0997
  Frame 256: x=0.5493, y=0.1753, z=-0.1171
  Frame 257: x=0.5446, y=0.1792, z=0.0022
  Frame 258: x=0.5434, y=0.1810, z=0.0008
  Frame 259: x=0.5366, y=0.1894, z=0.1141
  Frame 260: x=0.5171, y=0.1866, z=0.1438
  Frame 261: x=0.5115, y=0.1849, z=0.1339
  Frame 262: x=0.5080, y=0.1846, z=0.1371
  Frame 263: x=0.5060, y=0.1840, z=0.1334
  Frame 264: x=0.5051, y=0.1837, z=0.1410
  Frame 265: x=0.5040, y=0.1835, z=0.1264
  Frame 266: x=0.5032, y=0.1833, z=0.1501
  Frame 267: x=0.5024, y=0.1836, z=0.1586
  Frame 268: x=0.5010, y=0.1845, z=0.2108
  Frame 269: x=0.5003, y=0.1863, z=0.1573
  Frame 270: x=0.4999, y=0.1874, z=0.1430
  Frame 271: x=0.4990, y=0.1900, z=0.1102
  Frame 272: x=0.4981, y=0.1926, z=0.1123
  Frame 273: x=0.4955, y=0.1952, z=0.1311
  Frame 274: x=0.4936, y=0.1965, z=0.1628
  Frame 275: x=0.4915, y=0.1999, z=0.1595
  Frame 276: x=0.4908, y=0.2013, z=0.1579
  Frame 277: x=0.4871, y=0.2035, z=0.1536
  Frame 278: x=0.4839, y=0.2064, z=0.1389
  Frame 279: x=0.4716, y=0.2053, z=0.0780
  Frame 280: x=0.4608, y=0.2102, z=0.0216
  Frame 281: x=0.4524, y=0.2099, z=-0.0157
  Frame 282: x=0.4512, y=0.2091, z=-0.0232
  Frame 283: x=0.4511, y=0.2086, z=-0.0376
  Frame 284: x=0.4533, y=0.2077, z=-0.0662
  Frame 285: x=0.4555, y=0.2060, z=-0.1398
  Frame 286: x=0.4576, y=0.2059, z=-0.2349
  Frame 287: x=0.4587, y=0.2057, z=-0.2425
  Frame 288: x=0.4596, y=0.2054, z=-0.2399
  Frame 289: x=0.4613, y=0.2054, z=-0.2362
